DateTime,Time,MeasurementCount,OverallJudgment,#d1,#d2,Judgment1,Judgment2,Judgment3,Judgment4,WireLength,WireWidth,TerminalWidth,WireTerminalDistance,WireAngle,InspectionArea,UnpeeledArea,#go,#auto,OutputBufferMargin
28/08/2024,23:48:07,68279189,OK,0,0,0,0,0,0,0.20826,0.06004,0.08848,0.20382,82.53906,0.00762,0,1,0,100
28/08/2024,23:48:07,68279188,OK,0,0,0,0,0,0,0.20826,0.06004,0.08848,0.20382,82.53906,0.00762,0,1,1,100
28/08/2024,23:48:07,68279187,OK,0,0,0,0,0,0,0.20153,0.0632,0.08848,0.1896,81.75781,0.0075,0,1,0,100
28/08/2024,23:48:07,68279186,OK,0,0,0,0,0,0,0.20153,0.0632,0.08848,0.1896,81.75781,0.0075,0,4,1,100
28/08/2024,23:48:07,68279185,OK,0,0,0,0,0,0,0.2455,0.06004,0.08848,0.18486,83.40625,0.00901,0,1,0,100
28/08/2024,23:48:07,68279184,OK,0,0,0,0,0,0,0.2455,0.06004,0.08848,0.18486,83.40625,0.00901,0,3,1,100
28/08/2024,23:48:06,68279183,OK,0,0,0,0,0,0,0.23633,0.06004,0.08848,0.21646,88.62891,0.00882,0,1,0,100
28/08/2024,23:48:06,68279182,OK,0,0,0,0,0,0,0.23633,0.06004,0.08848,0.21646,88.62891,0.00882,0,2,1,100
28/08/2024,23:48:06,68279181,OK,0,0,0,0,0,0,0.20205,0.06004,0.09164,0.19908,83.6875,0.0075,0,1,0,100
28/08/2024,23:48:06,68279180,OK,0,0,0,0,0,0,0.20205,0.06004,0.09164,0.19908,83.6875,0.0075,0,1,1,100
28/08/2024,23:48:06,68279179,OK,0,0,0,0,0,0,0.20072,0.06004,0.0948,0.19434,81.11328,0.00748,0,1,0,100
28/08/2024,23:48:06,68279178,OK,0,0,0,0,0,0,0.20072,0.06004,0.0948,0.19434,81.11328,0.00748,0,4,1,100
28/08/2024,23:48:06,68279177,OK,0,0,0,0,0,0,0.24298,0.06004,0.0948,0.2133,81.51172,0.00896,0,1,0,100
28/08/2024,23:48:05,68279176,OK,0,0,0,0,0,0,0.24298,0.06004,0.0948,0.2133,81.51172,0.00896,0,3,1,100
28/08/2024,23:48:05,68279175,OK,0,0,0,0,0,0,0.25122,0.05688,0.08532,0.19118,87.76563,0.00913,0,1,0,100
28/08/2024,23:48:05,68279174,OK,0,0,0,0,0,0,0.25122,0.05688,0.08532,0.19118,87.76563,0.00913,0,2,1,100
28/08/2024,23:48:05,68279173,OK,0,0,0,0,0,0,0.20333,0.0632,0.08848,0.2054,81.47266,0.0075,0,1,0,100
28/08/2024,23:48:05,68279172,OK,0,0,0,0,0,0,0.20333,0.0632,0.08848,0.2054,81.47266,0.0075,0,1,1,100
28/08/2024,23:48:05,68279171,OK,0,0,0,0,0,0,0.20898,0.06004,0.08848,0.1659,85.98437,0.00762,0,1,0,100
28/08/2024,23:48:05,68279170,OK,0,0,0,0,0,0,0.20898,0.06004,0.08848,0.1659,85.98437,0.00762,0,4,1,100
28/08/2024,23:48:05,68279169,OK,0,0,0,0,0,0,0.26181,0.06004,0.0948,0.18486,84.05078,0.00931,0,1,0,100
28/08/2024,23:48:04,68279168,OK,0,0,0,0,0,0,0.26181,0.06004,0.0948,0.18486,84.05078,0.00931,0,3,1,100
28/08/2024,23:48:04,68279167,OK,0,0,0,0,0,0,0.28212,0.06004,0.08532,0.19908,86.81641,0.00975,0,1,0,100
28/08/2024,23:48:04,68279166,OK,0,0,0,0,0,0,0.28212,0.06004,0.08532,0.19908,86.81641,0.00975,0,2,1,100
28/08/2024,23:48:04,68279165,OK,0,0,0,0,0,0,0.20295,0.06004,0.09164,0.21488,80.76562,0.00748,0,1,0,100
28/08/2024,23:48:04,68279164,OK,0,0,0,0,0,0,0.20295,0.06004,0.09164,0.21488,80.76562,0.00748,0,1,1,100
28/08/2024,23:48:04,68279163,OK,0,0,0,0,0,0,0.20311,0.06004,0.08532,0.17064,84.19141,0.00753,0,1,0,100
28/08/2024,23:48:04,68279162,OK,0,0,0,0,0,0,0.20311,0.06004,0.08532,0.17064,84.19141,0.00753,0,4,1,100
28/08/2024,23:48:03,68279161,OK,0,0,0,0,0,0,0.27355,0.06004,0.0948,0.17538,84.47656,0.00953,0,1,0,100
28/08/2024,23:48:03,68279160,OK,0,0,0,0,0,0,0.27355,0.06004,0.0948,0.17538,84.47656,0.00953,0,3,1,100
