DateTime,Time,MeasurementCount,OverallJudgment,SP_No,SP_Side,S1X,S1Y,S1L,S2X,S2Y,S2L,F1X,F1Y,F1L,F2X,F2Y,F2L,OutputBufferMargin
29/08/2024,20:53.0,8442335,OK,1,2,2.42902,1.18193,0.19623,2.43105,1.27918,0.19695,2.45449,1.29229,0.21047,2.4615,1.19116,0.2387,100
29/08/2024,20:53.0,8442334,OK,2,1,2.41007,1.17233,0.18555,2.43508,1.23735,0.18587,2.46425,1.24872,0.20493,2.41349,1.23327,0.19931,100
29/08/2024,20:53.0,8442333,OK,2,2,2.41845,1.18641,0.18643,2.43816,1.26578,0.19126,2.46584,1.2303,0.209,2.4217,1.25113,0.1998,100
29/08/2024,20:53.0,8442332,OK,3,1,2.41137,1.18657,0.18709,2.44564,1.26232,0.18326,2.44558,1.22684,0.17352,2.39614,1.24435,0.18246,100
29/08/2024,20:53.0,8442331,OK,3,2,2.41525,1.18879,0.18034,2.42003,1.27434,0.17481,2.44794,1.21485,0.19273,2.42472,1.27686,0.19982,100
29/08/2024,20:53.0,8442330,OK,4,1,2.42889,1.19526,0.19755,2.43373,1.26338,0.1871,2.43344,1.21897,0.17689,2.43099,1.21762,0.20968,100
29/08/2024,20:53.0,8442329,OK,4,2,2.42946,1.17882,0.18813,2.43435,1.26879,0.18442,2.45463,1.26181,0.1947,2.42822,1.23449,0.19686,100
29/08/2024,20:53.0,8442328,OK,5,1,2.40216,1.19108,0.15911,2.42419,1.22327,0.16861,2.42423,1.20194,0.15867,2.40392,1.26078,0.17093,100
29/08/2024,20:53.0,8442327,OK,5,2,2.43157,1.20164,0.18499,2.42146,1.25343,0.17818,2.411,1.22838,0.15762,2.41304,1.25405,0.1762,100
29/08/2024,20:53.0,8442326,OK,6,1,2.4133,1.18673,0.19218,2.45587,1.24268,0.20981,2.47076,1.21341,0.21484,2.41832,1.23992,0.20749,100
29/08/2024,20:53.0,8442325,OK,6,2,2.42066,1.16183,0.18425,2.45413,1.28646,0.19225,2.46502,1.24246,0.19337,2.43086,1.23513,0.20488,100
29/08/2024,20:53.0,8442324,OK,7,1,2.42411,1.1916,0.1839,2.43577,1.2497,0.19198,2.46393,1.22114,0.21008,2.4301,1.22933,0.1998,100
29/08/2024,20:52.0,8442323,OK,7,2,2.41556,1.18203,0.17944,2.43794,1.27223,0.18145,2.4658,1.25479,0.19936,2.4252,1.21748,0.19921,100
29/08/2024,20:52.0,8442322,OK,8,1,2.43051,1.19691,0.19298,2.42611,1.19942,0.187,2.41054,1.22113,0.16153,2.41576,1.24116,0.1881,100
